src,tgt_translated,baseline_src,silver_src
s this tube she likes frm mambo..41 bucks.. Okie.. Juz to inform u.. Abit late but ha. Nvm la.,這支管 她 喜歡 是 Mambo 的 .. 41 美元 .. 好 吧 ..   juste   inform 你 .. 一點 晚 了 但是 哈 .. 不管 了 。," Tube ni lah favourite dia frm Mambo $41 bucks... Okie lar.. Juz inform u la, late a bit but no worry lah.","Here is the code mixed sentence:

""Dis tube s she likes frm mambo..41 bucks, abit late but okie, ha. Juz to inform u la, nvm."""
"Haha I hope it was alright>< oh no what a sick joke!!!! Cannot standit!!! Haha okay talk to you tonight then, have fun! Byeeee(:",哈哈 希望 它   okay > <   呵呵 哇 这段 恶搞 ! ! ! ! 不能 oleratet ! ! ! ! 哈哈 晚上 见 ， 玩得 开心 ！ 拜拜 ( :,"哈哈希望ok la>< oh no wtf joke so sick!!!Cannot stand la!!!哈哈 tonight talk ok, enjoy nowbyebye(:","Haha lah hope it's alright lah, but wtf, it's such a sick joke! Cannot standit lah, makes me wanna go ""argh""! Haha okay, talk to you tonight then, enjoy leh! Bye bye(:"
K k pa Had your lunch aha.,我 已经 吃 完 午餐 了 。,"K k pa, Liao chiang le mai a, ahah.","K k pa, I already had your lunch aha., now kiasu want eat again la."
Ur hamster die liao...,你 的   hamster   already   died ...,小鼠死咪喇了...,"Ur hamster die liao... become nothing but dead now, sia sia la, **die liao** forever"
Where are you now exactely?shall we wait for dinner?,你 现在 在 哪里 ？ 我们 等待 晚餐 吗 ？,"""Ah, now at dis location lah, lor. Shall we wait for dinner at dis timing ah?""","Lah at nowhere lah, shall we wait till dinner time ah?"
"Yeah :) just send me an email, i'll fwd it to u. Cya :)",哎呀   : )   我会 收到 你 的 电子邮件 ， 然后 转发给 你 。 再见   : ),"Ya lor! Just email lah, me send back to u leh. Byebye lah :)","Yeah :), just send me email lah, i'll fwd it to u., cya!"
Send me your details! Hahaha!,發 我 你 的 資料 ！ 哈哈哈 ！,"""Boh send you details ah hahah!!""","""Send me la your lah details! Hahaha!"""
So the sun is anti sleep medicine.,太阳 是 抗 睡眠 药,"日头 (rì tóu) is anti sleepy medicine lah, hor?","Sunlight la really good anti sleepy medicine, got no need take sleep tablet or drink coffee lo."
"Ya la... E academy la... Can, neva specify who wat....",哎呀 … 学院 里 … 不能 指定 谁 是 什么 …,"""Ya lar, E academy lar, Can, neva spesify who wat, "" (Ya lar, 学院 lar, 可, 不要指定谁什么的)","Ya la, E academy la... Can, neva specify who wat mah, just know la..."
"Hi jiayu,  I've received the softcopy of the invoice.  Thank you!",你好 ， 嘉宇 ， 已经 收到 发票 的 电子版 ， 谢谢 ！,"Ni hao jiayu, ah received lah softcopy of invoice already, thanks lor!","Hi jiayu, ah received softcopy of the invoice leh, thank you!"
chou chou!! show finish alr?,哎呀 ！ 显示 已经 结束 了 ！,"好吧 lah, show finish leh, chou chou~~~  
(好吧, show完了, oh yeah~~~)","""Chou chou!! Show finish la, now can go home already?"""
LOL FRIEND!!! Hahaha!!!! What are you doing for cluster outing then!!!,哈哈哈 朋友 ! ! ! 哈哈哈 ! ! ! ! 你 cluster   outing 做什麼 呢 ! ! !,哈哈哈友!!!  LaoLao ah!!!  U goin' do wat for cluster outing lar?!,"LOL FRIEND!!! Hahaha!!!! Ahh you lah, planning cluster outing then!!! You goin' do what for outing hor??"
Later meet at ngee ann poly.,晚些时候 在 南洋 理工大学 见面,Later lah meet at Ngee Ann Poly lah.,"""Later lah, we meet at Ngee Ann Poly lah, okay?"""
Eh.. I will be late leh. By abt  <#>  min. Just nw did some changesto slide to put the pics. U all go eat lunch first?,哎呀 ， 我会 迟到   leh 。 约   < # >   分钟 。 刚才 才 改 了 幻灯片 放 图片 ， 你们 先去 吃 午餐 吗 ？,"""Ah ma, I will be late lah, roughly bout 10 min. Just now change some slides to put picture la, you all go eat lunch first ah?""","Eh.. I will be late leh, by abt 5 min. Just now did some changesto on the slide, put in the pics, u all go eat lunch first?"
"Good morning, how about Saturday at  <#> am?",早上好 ， 星期六 < # > 点好 吗 ？,"Ahoy, Satdee morning lah, how bout 8 am or 9 am leh?","Good morning lah, how about ah go out on Sabtu at # am leh?"
No mood den go sleep ba if not waste time do shit work,没有 好 心情 就 不 去 睡觉 吧 ， 如果 不 浪费时间 做些 傻 工作,"No mood lah then go sleep ah, if not waste time do shit work lah.","No mood den go sleep ba if not waste time do shit work, become no la, just go sleep, no need do shit work lah, no point waste time."
Okay son. Wad u wan me to help in,好孩子 ， 你 想 让 我 帮助 什么 ？,阿爸，u want ah lau pa help ah in zai jiā wān wán jiā zhèng qiān ài huì?,"Okay, u want me help son, wad u wan me to give assistance in, okay me, u know ah?"
Ok di took wen yu come get t from me,我 已经 准备 好 了 ， 当 你 来 取 的 时候,"Di lah, took wen ni come get t from me, become ""得了，等你来取的""","Di took when you come get t from me, became: 
""Di took wen u come grab t from me""

Note: I replaced ""get"" with ""grab"" which is a common Singlish equivalent."
Go beach play volleyball or play in the sea?,去 沙滩 打 排球 还是 去 海边 玩 ？,Go beach play vollyball or play in海里 (海里=sea) lah?,"Want to go beach la, play volleyball or go play in the sea one?"
Yeah <3 <3 I just wanted you to know how important you are you me <3,哎呀 ！ 我 只是 想 让 你 知道 你 对 我 有 多 重要 ！,"""U r super impotant to me lah <3 <3, juz wanna let u know u got special place in my heart, okay?""","Yeah lah <3 <3, just wanna say you very important to me lah, I know, I wanted to express my love to you, yeah, you know, you very special to me <3"
"i've printed out tge forms, but the earliest appointment date is 8feb. and i have school that day. can u go down to collect the passurself?",我印 了 出 表格 ， 但是 最早 的 预约 日期 是 2 月 8 日 ， 我 那天 有课 ， 可以 你 自己 去 领取 证件 吗 ？,"Printed out tye form lah, but earliest appointment date 8Feb, got school that day lor, can u go collect passself instead?","I've printed out forms lah, but earliest appointment date is 8Feb. and I have school that day, can u go down collect passurself? Is u free to go down and collect on ur own, or i've got to go out myself?"
OK sure.. 8pm at Clementi,8 点   Clementi,"Eitah, 8pm at Clementi, ah mah, 8点 Clementi lah.","Eight pm at Clementi lah, sure.. 8pm Clementi mah."
I thk dun wan da glasses lar... Seldom use it anyway... Save some money... Hee...,我 想 不 戴眼镜 啦 ... แ ท 么   seldom   使用 它 Anyway ... 省些 钱 ... 嗨 ...,我想不要spectacles lah... rarely用它 anyway...省点钱...哈哈,"I think don't wan da glasses lar... Seldom use it anyway... Save some money... Hee... 

(Note: Translated into a code mixed sentence with romanized Chinese and Singlish with specific key words)
 
I (wo) seldom (yǒu shǎo) use (yǐ) it (tā) anyway... (yě yě) dun (bù nǐ) wan (xiǎng) da (dà) glasses (kēng jiǎng) lar... (lǎo) Hee..."
I wan black but is it low waist a not... But i cant buy things oredi cos muz save money... How... Ü eat dinner liao?,我 想要 黑色 ， 但 它 是 低腰 的 不是 … 但 我 已经 不能 买 东西 了 ， 因为 我 需要 节省 钱 … 怎么办 ？   Ü 已经 吃晚饭 了 ？,我想black但是是low waist ah... 不过我已经买不了东西了，因为要省钱了... 如何... 我吃晚餐了 lah!,"I wan black pants but is it low waist a not... But i cant buy things oredi cos muz save money... How... Ü eat dinner liao? **Translation:**
""Ah, I want black (wan black) pants but is it low waist (low waist) a not... (a not...) But i (i) can't buy things (buy things) oredi cos muz save money... (cant buy things oredi) How... Ü eat dinner liao?"""
Bye! Have a safe trip home!,再见 ！ 回家 安全 ！,Bye lah!  Safe journey back home ah!,"Bye! Back soon ah, have safe journey la, then head back to home!"
Fab house which floor ar??,非常 好 的 房子 在 哪 一层 ？,"好咭的房子，几楼呢？ (hǎo kè de fáng zǐ, jǐ lóu ne)","Boutique house which floor ar?? is on top floor, very **fab** lah!"
"Ooo, I was just reminded I need to return you the HCi textbook..",你 需要 还 我 HCI 教材,"Oh leh, just now I remember got to return u the H.C.I textbook lah, gotta go return soon lah.","Ooo, I was just reminded I need to return you the HCI textbook lah, so better give back the textbook la, no more keep it leh."
"Hahaha xD btw, tried to get to Zakum yesterday... noooo way",哈哈哈 XD 昨天 去 扎 库姆 了 … 完全 不 可能,"哈哈哈 xD btw, try la get to Zakum yesterday... fail wor, noooo way lah","Hahaha XD btw, tried la go kill Zakum yesterday, but noooo way, fail to kill it, hua la!"
Vendors use cap to limit their liability. But the damages and risksare increasing and it's hard to agree on a cap. The issue is bothparties cannot agree on a cap.,經銷商 使用 擔保額 限制 責任 。 但是 損害 和 風險 增加 ， 很 難達成 一致 的 擔保額 。 問題 是 雙方 都 不能 同意 擔保額 。,"Retailers use cap lah limit their responsibility. But damage and risk increase hor, very hard agree on cap one. Issue ah, both parties cannot agree lah on cap cap one.","Vendors use cap to limit deir liability. But damages and risksare increasing and it's hard to agree on a cap lah. **The** issue is **bothparties** cannot agree on **a cap**. Risks are **increasing** lah, **damages** too, so **vendors** **cannot** **use** **a cap** to limit **liability**."
Post! That sounds great! Why did we ever throw such a friendship away?!,！ 我们 何必 抛弃 这种 友谊 ? !,"Post ah! Kiasu leh, why we ever jialat such a kiong friendship away lor!","Post! That sounds great lah! Why did we ever **throw** away **such** a **good** **friendship** **a**iyo, **away?!**"
"ok, then i'll wait for news frm u on mon.",我 周一 给 你 回音,"等下周一有消息lah, then ah kiam will tell u.","Then ok, i'll wait for news on Mon. from u, so shall wait for news on that day la."
yes...meet at 1230 at dohoby ghaut,下午 1230 在 道 拜 广场 见面,Ya... 12点30在都比厥 Ghaut见面 lar.,Meet at 12.30 at Dover Road's Dohoby Ghaut lah.
Bout wad time u finish gym??,你 终于 完成 健身 了 吗 ？,你去健身馆多久时间了？ -> You go gym bao lâu time ah?,"Finish gym la, how lar time u take?"
Poor me still using 8310. Haha... nsf are the poorest boys around. So are yr exams over yet?,我 还 在 用 8310 哈哈 ... 我们 nsf 是 最穷 的 男孩 around 。 你 的 考试 结束 了 吗 ？,"Ahah, woe is me still using 8310 la... NSF leh, our boys most poor leh. So, ur exams already over yet?","Ahahah... poor me still using 8310 lah, **NSF** boys like us are the poorest around. Exams still not over leh, are they done yet?"
All the best for ur result...Wish you pass with flying color...,祝 你 考试 考得 出色 ！,"""Best lah for ur result leh... Wish u pass with flying colour la!""","""Ah jialat, All the best lor! Wish you pass with flying colours leh, and get a bright future ahead, no worries, okay!"""
Okay. Gary wong loh. Haha.,Gary   Wong   Loh !,"Wah lau, Gary Wong Lao ah, hahahaha!","Okay lah, Gary wong loh, heng ah, Gary wong la, okay, hahaha, wong ah loh, okay, Gary wong loh, haha, okay, wong loh Gary."
"Mcchicken meal upsize, double cheeseburger upsize + green tea, mcgrill + green tea, mcwings, double quarter pounder with cheese upsize, lots of curry sauce",麥香雞 套餐 加大 、 雙酪 堡 加大 + 綠茶 、 麥吉爾 + 綠茶 、 麥翅 、 雙 四分之一 磅 酪堡 加大 、 許多 咖哩 醬,"""Ah mah Mcchicken meal upsize lah, double cheeseburger upsize + green tea si, McGrill + green tea also, got mcwings, double quarter pounder with cheese upsize la, curry sauce many lah!""","Mcchicken meal upsize lah, double cheeseburger upsize + green tea, mcgrill + green tea, mcwings, double quarter pounder with cheese upsize, got lots of curry sauce, want double portion lah, upsize lah, double la, got curry sauce on the side, want more cheeseburger upsize, Mcchicken meal upsize with extra cheese and curry sauce."
"Hi Ricky,  sorry to bug at night. We want to check again with youthat the carpentry pieces to be replaced are going to be done by yourgood carpenter.   Please get them to go ahead and measure tomorrow asthere's no time left.  As for the show piece, we'll evaluate it on Satbut please don't wait for our judgment before getting the newcarpenter to do.  Thanks! How was yr discussion with Desmond today?Please update us. Thanks v much.",哈利 克 ， 對 不起 在 晚上 打擾 你 。 我们 想 再次 確認 ， 你 的 好   carpenter 將會 替換 的 木工 件 。 請 讓 他們 明天 開始 量度 ， 因為 時間 不 多 了 。 關於 展品 ， 我們 週六將 進行 評估 ， 但 請 不要 等 我們 的 判斷 後 才 讓 新 的   carpenter   做 。 謝謝 ！ 你 今天 和 戴斯蒙 的 討論 如何 ？ 請 更新 我們 。 謝謝 很多 。,"""Hi Ricky, sorry lah bug u at night leh. We wanna check again with u dat carpentry pieces to be replace by ur good carpenter ah. Pls get him to go ahead measure tomoro cos no time left leh. Show piece we evaluate Sat, but pls don't wait our verdict, get new carpenter start work already. Thanks! How was discussion with Desmond today leh? Update us plah. Thanks v much!""","Hi Ricky, sorry to bug at night lah. We wanna check again with you that carpentry pieces to be replace leh, going to be done by your good carpenter ah? Please get them to go ahead measure tomorrow, no time left lar. As for show piece, we evaluate on Sat but no need wait our judgment, get new carpenter do already leh. Thanks! Discussion with Desmond today how ah? Update us la, thanks very much!"
Haha:P okay lah I dun liao! Hahaha i'm also sleepy): where did yougo! Haha okay ah alot of things sia lucky it's Monday exam!,哈哈 ： 好 啦 我 不 了解 ！ 哈哈 我 也 很困 睡 ： 你 去 哪儿 了 ！ 哈哈 好 啊 很多 事情 哎 好运气 的 是 星期一 考试 ！,哈哈:P okay la!  Hahaha 我也要睡了：) 我去哪里了！哈哈 okay ah!  一堆事 sia  lucky lah Monday exam sia!,Haha:P okay lah i'm also sleepy): yougo! Haha okay ah alot of things sia dun liao! Hahaha i dun wanna go exam! lucky Monday lah!
Those ducking chinchillas,那些 鸭子 似的 绒鼠,"Ni hao, those ""chai-chai"" (chinchillas) lah, so cute lah!","Those ducking chinchillas lah, they so cute lah."
"Joey: Yup,where u fr?",喬伊 ： 嗨 ， 你 在 哪儿 ？,"Jie Jie: Ah, from HDB block near  Ang Mo Kio lah, from house of my ah mah, u?","Joey: Yup,where u fr? -> Joey: Ah, yeah, I'm at **hou** (where) la, u?"
Is it? I really dont know. If cannot add then nvm bah.,不 知道 是否 如此 ， 如果 不能 增加 ， 那 就 不管 了 。,"善de reward leh, ah mah, no idea la, if no add on then lah, forget lah, nvm hor.","""Is it reward leh? I really don't know lah, if cannot add more kiam chai, then nvm bah."""
"Thank U. U had just sent your 3rd Local SMS for the day. With just 2 more Local SMS sent, you can enjoy  <#>  Free Local SMS to be used by  <#> hrs today!",感谢您 ！ 您 刚刚 发送 了 当日 的 第三条 本地 短信 。 只 需 发送 两条 更 多 的 本地 短信 ， 您 可以 享受 < # > 免费 本地 短信 ， 有效期 < # > 小时 ！,"谢谢 lah! U jus sent ur 3rd Lokal SMS for da day leh, with juz 2 more Lokal SMS sent, u can enjoy <#> Free Lokal SMS to be used by <#> hrs today ah!","Thank u lah, u just receive ur 3rd Loc SMS for da day, only need send 2 more Loc SMS, u can enjoy <#> Free Loc SMS used by <#> hrs today!"
hey... i was thinking about that movie too...,哎呀 ， 我 也 在 想 那个 电影 ...,"""Hey, got same thoughts leh... also thinking abt dat movie leh...""",Hey... got thinking bout that movie too...
If you r @ home then come down within 5 min,如果 你 在家 就 下来 五分钟,若你在家就下来within 5 min lar.,"If you lah @ home den come down lor within 5 min, okay?"
"HEY KATE, HOPE U R OK... WILL GIVE U A BUZ WED LUNCH. GO OUT SOMEWHERE 4 A DRINK IN TOWN.. CUD GO 2 WATERSHD 4 A BIT? PPL FROM WRK WILL B THERE. LOVE PETE.",嘿 凯特 ， 希望 你好 。 星期三 午餐 我会 给 你 一个 电话 。 我们 可以 出去 镇上 喝点 什么 。 可以 去 水头 花园 花 了 一下 ？ 工作 中 的 朋友 们 都 会 在 那儿 。 爱 你 ， 彼得 。,"Here's the translation:

**Hēi Kǎi dé hǎo yǔ nǐ ne... wǒ jiù gěi nǐ yī gè jiāng jiǎo zhōu xiàōng. qù chū xiāng qù yī jiān yǐn huò zhōu shì. kě yǐ qù wǎi shuǐ hé dì 4 yī xiǎn? rén zài gōng zhǎng lǐ jiù huì bǎ. ài péi té.**","Hey Kate, HOPE U R OK... Pete say will give U a buz Wed lunch, go out somewhere 4 drink in town, cud go 2 Watershed 4 bit? Ppl from work will be there. Love Pete."
Ya I free 2moro. Yh nvr say do wad le.... dunno still on not,明天 我 是 自由 的 。 哎呀 ， never   say   do   what   later … … 不 知道 我 还 在 做 不停 。,"Free tomorrow la, yah neh never say do what leh, don't know still on not, mah?","""Yh, free 2moro. Yh nvr say do wad leh, still on not lah."""
Thanks son!!!!!! (: (: (: (: (:,谢谢 儿子 ! ! ! ! ! !,谢谢阿咪!!!!!! (Xie xie ah mah!!!!!!),"Thanks lah son!!!!!!(: (: (: (:  you're welcome bo, got ur back lah"
Yaaaa so dont tell me it's a star party rawr,嗷嗷 ， 不要 告诉 我 这 是 星星 派对 嗷嗷,"Yah, lor, juz don't say ""star party"" ah, tell me it's a ""天上派对"" lah, rawr, got it?","Yaaaa so dont tell me it's a star party rawr, no need lah, just come join me for this star party, dont tell me you're not coming hor, so many fun ah, rawr, yaaaa so come lah, dont make me say a big no to you rawr."
You wana eat fig and olives? I've nvr eaten there before.. :),你 想 吃 fig 和 橄榄 ？ 我 从来 没有 在 那儿 吃 过 …,想吃fig和olives咾? 我从未eat过dis place before la!,"Wah, you wana eat fig and olives? I've nvr eaten there before, lor :). You go try la, maybe you eat also, but me, nvr eat fig and olives there, so you eat, okay?"
Gt d pens andrew.cl u sn.g.b,获取 好 的 笔记 和 安德鲁 的 成功 报告,"""Get de pens lah Andrew, u see ngambeeh (nothing) ah?""","""Give Andrew.cl some pens lah, got it, now go ahead and sign on the dotted line, sn.g.b"""
You do what all you like,你 做 你 喜欢 的 所有 事情,"You can lah do whatever u like, go ah!","You can just do whatever you fancy lah, go ahead do what you want ah."
"Yeah): haha it just started, dunno why lights not dimmed haha quitelame! Wow haha so far away XD haha oops! Hahaha omg then later gotbuff nick:O yeah we ate quiznos! I ate tuna LOL.",哈哈 刚刚开始 不 知道 为什么 灯光 不 dimmed 哈哈 很 糟糕 ！ 哇 哈哈 距离 很远 XD 哈哈 哇 然后 我们 吃 了 quiznos ！ 我 吃 了   tuna 哈哈 。,"Ahaha, just start lar, why lights no dim ah, quitelame! XD Wah, far away leh! Oops! Hahaha omg, den later got nick buff:O, yeah we eat Quiznos ah! I eat tuna, LOL, hahaha.","Haha lights not dimmed lah, started, dunno why, so far away XD hahaha omg then i ate quiznos! I ate tuna, quiznos! hahaha omg, i dunno why lights not dimmed, so i just hahaha quitelame, oops! why lights not dimmed, i dunno, lights not dimmed, hahaha, yeah: then i ate tuna, quiznos, omg, i ate tuna, hahaha, lights not dimmed, i dunno why, hahaha, oops! why lights not dimmed, hahaha, yeah: then i ate quiznos, omg, i ate tuna, quiznos, hahaha, then i ate quiznos, i ate tuna, hahaha, oops! lights not dimmed, i dunno why, hahaha, then i ate tuna, quiznos, oops! lights not dimmed, then i ate quiznos, hahaha, oops! why lights not dimmed, hahaha, lights not dimmed, i dunno why, then i ate tuna, quiznos, oops! hahaha, lights not dimmed, i dunno why, then i ate quiznos, hahaha, oops"
Idiot dat same is d unna program,白痴 说 的 同 是 那个 程序,白痴咧same lar是unna program,"""Idiot dat"" means ""same"" in Singlish, so the sentence becomes:

""Idiot dat same lah is d unna program""

Here, I kept the desired words ['idiot', 'program', and 'dat']"
Same to you too! (haha can't type Chinese on this phone),你 也 一样 ！,你也same la! (nǐ yě xiàng yī yàng),"Same lah! Same lah, you get back what you give, okay?"
Hahaha eh gd leh still can get some cert.haha.got job rec me not lol I looking for internship too arbo grad liao no work experience.,哈哈 哎呀 好好   leh   还 能 拿到 些 证书 哈哈 被 公司 推荐 我 不 lol 我 也 在 找 实习 太 abajo 毕业 了 没有 工作 经验 。,哈哈，干好事的回报只会是更多的好事นะ。哈哈，算是ok leh still dapat some cert la，哈哈，offer job recall me leh，没工作经验 arbo grad liao，now also looking for internship ah，graduated already but no experience.,"Hahaha eh gd leh still can get some cert.haha.got job rec me not lol, arbo grad liao no work experience, eh me also looking for internship too leh, hope can get some internship too, eh no worries got cert already, still no work experience but grad liao already, eh internship also can help get some experience, arbo leh get job rec me not lol hahaha."
"Yes, please.  Thank you. :-)",善 的 回报 只能 是 善,You're welcome lah!,"Ya lah, thank you very much, yes, you're welcome lah, thank you! :-)

 Translated code mixed sentence:  
Yes, thank you.:-) you ah, please. thank you lah!"
Hand still not mch feeling!,手 还 没有 多 感觉 ！,"""手still no feel lah!""","Hand still no lah feel, numb ah!"
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ <#>  worth tonight if possible,兩 盎司 的 家伙 有点 不 可靠 ， 但是 有 一個 朋友 愿意 今晚 如果 可能 的话 ， 付出   < $ # >   美元,"2 oz ah geng leh quite flaky leh, but one friend interested in kena $<#> worth tonight lah, if possible ah.","2 oz bro leh kinda flaky lah, but got one friend interested in picking up $ worth tonight if possible, the guy la."
Haha its ok if u can't. I can go front gate,哈哈 没 问题 ， 如果 你 不能 ， 我 可以 去 大门,"Haha lah, okay lah, u no worry, can go di front gate hor, wéi jiān qū men.","Haha its ok lar, i can go lah, u no need worry, if i can't go, i'll just go front gate hor, u can go after, its ok, i go first, u wait lah at gate."
Wth? I tot we going early to do? Tues due le nabei,我們 原來 要 早點 出 發去 做 什麼 ？ 星期二 就要 見娜 貝 了,"""Ahah, wat lah! Tueday early one la, go do nabi already, no?""","Wth? I tot we lah **going** early to do good deeds on Tues, but now no la, just chill le nabei."
"ID <#> K. Hi I'm interested in this assignment. Tue  <#>  preferred.Sunday will be best, if possible.",ID ： < # >     K 。   hi ， 我 對 這個 任務 感興趣 。 Tue ： < # >     my   preferred 。 Sunday 會 是 最好 的 ， 如果 可能 。,"ID <#> K. Ahh, Hi lah, I'm very interested in dis assignment, Tue <#> preferred leh. Sunday best leh, if possible one lah.","ID <#> K. Hi, I interested in **this** assignment. Prefer **Tuesday** <#> but **Preferred.Sunday** best la, if possible ah."
"Mr tan, yesterday I have sent you an email with the documentspertaining to the ANE XVI. Have you received it?",谭 先生 ， 您 昨天 收到 我 关于 ANE   XVI 的 文件 吗 ？,"Ah Mr Tan, yesterday lah, I already send u email got dokumen terkait ANE XVI leh. U receive yet ah?","Ah Mr Tan, yesternight lah I already send you email got dokuments relate to ANE XVI. XVI. got receive it?, or not?"
we don't our future so we must thing and want to pray to god,我們 不 掌控 未來 ， 所以 我們 必须 思考 和 祈求 上帝,"""we don't know our future so we must think and want pray to god lah""  
(romanized Chinese: wǒmen bù zhīdào wǒmen de wèi lái, nèng xiǎng yī xiǎng kuài bǎo zài shén míng zhī shàng)","We don't know our future so we must think and want to pray to God lah, so that we can plan ahead and not regret later on, must got faith and hope in our future plans leh."
Hk Ivan wenbo abbie friend Jeremy junxiong! Ohh did you bring blazer to Co'an?,香港 伊万 文波 阿比 朋友 杰瑞米 俊雄 ！ 哦 ， 你 带 了 西装 到 考安 吗 ？,"好友 Ivan Wenbo Hk Jeremy Junxiong ah! Wah, you bring blazer ke Co'an leh?","Haiya, HK Ivan Wenbo got friend Jeremy Junxiong lah! Ouh, did u bring blazer to Co'an?"
ve booked the 2 lessons on sun liao...,我們 已經 預訂 了 在 孟 遼 的 兩堂 課,"""Ve already book ah 2 lesson on Sun Liao, la...""","We ""ve"" already ""booked"" two lesseeons on a sunny day, sun liao."
Oh oh. Hmm lol okay. So now the thumbdrive cannot be used?,"I   think   there   might   be   some   confusion !   As   a   translation   AI ,   I   can   only   translate   text   and   don ' t   have   the   ability   to   affect   physical   objects   like   thumb   drives .   If   you ' re   experiencing   issues   with   a   thumb   drive ,   it ' s   likely   due   to   a   technical   problem   or   a   physical   issue ,   and   I ' d   be   happy   to   help   you   troubleshoot   or   provide   general   information   on   how   to   use   a   thumb   drive .   But   I   won ' t   be   able   to   magically   fix   it !","""Thumbdrive no work lah, cannot use ah""","Drive stick mah kena block lor, cannot use lah."
"Night night, see you tomorrow",晚安 ， 明天 见,"""night night, la""  tomorrow ah, jiā yóu mai (jiā yóu mai)","No specific words wanted, but I'll provide a translated sentence: 
""Goodnight lah, see you tomorrow la!""

(Note: Since there were no specific words wanted, I provided a common Singlish expression for goodnight)"
Huh... Shall i join u?,你 想 和 我 一起 吗 ？,"""Ah, wanna join ah?""","Huh... I wanna know lah, shall **i** join **u**?"
Beside my desk on the floor.,我 的 桌边 在 地板 上 。,Di side mah desk onna floor lah.,"At my side on the desk lah, got something on the floor."
Can can.  What flavour?,可以 。 什么 口味 ？,"""Can can ah, flavour lah?  可可可, flavours leh!""","Can can lah, what flavour? Flavour lah, got many type, you want know flavour? Which one, can try ""can"" lah, flavour ""can can"" got, you ask ""what flavour?"" can can only say ""can can"" flavour ""can"" lah."
Sounds auntie.lol.wat abt considering to do some housework too.haha.,好笑 ！ 家务 也 算是 善行 之一 ！,做点家务也要consider lah.,"Sounds like good idea la, ah **auntie.lol.wat**. **Housework** also no too.haha. "
Hahaha want some mr bean ice cream?,哈哈 ， mr   bean 的 冰淇淋 要 吗 ？,哈哈哈要some bean ice cream lar mah?,Hahaha wanna try some bean ice cream lar?
"Omw back to tampa from west palm, you hear what happened?",從西 棕榈 回 塔马 Π Α ， 你 聽 到 什麼 了 ？,"From West Palm omw back to Tampa, lar hear got happen wat?","""Omw back to tampa from west palm, you hear what happen leh? What happen already from west palm to tampa?"""
But I can go visit you if possible.,如果 可能 ， 我 可以 去 visit 你 。,"Can go visit lah, possible ah then go hor, visit you lah, 可以去 visit you hor, possible ah then go hor.","I can lah go visit you lo, if possible hor, so I can go over there leh."
For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,對 我 而言 ， 愛情 應該 從 吸引 開始 。 我 每時 每刻 都 需要 她 。 她 應該 是 我 腦中 的 第一 個 想法 。 我會 在 她 身上 開始 每天 ， 並在 她 身上 結束 每天 。 她 應該 出現 在 我 每個 夢 中 。 愛情 將是當 我 每 一次 呼吸 都 帶 有 她 的 名字 時 。 我們 的 生活 將圍 繞 著 她 。 我們 的 生活 將被 命名 為 她 。 我會 為 她 哭泣 。 我會將 所有 的 喜悅獻給 她 ， 並承擔 所有 她 的 悲傷 。 我會 為 她 戰鬥 。 我會 在 為 她 做 最   craziest   的 事情 時是 愛的 。 愛情 將是當 我 不 需要 證明 任何人 我 的 女友 是 這個 星球 上 最美 麗 的 女性 。 我會 一直 歌頌 她 。 愛情 將是當 我 開始 做 雞肉 咖哩 ， 最後做 番茄 咖哩 時 。 我們 的 生活 將是 最美 麗 的 。 每天 早上 ， 我們 會 感恩 上帝 ， 因為 她 在 我 身邊 。 我 想 說 很多 話 ... 後 話 ...,"Ah love lah, shall start with attraction la, i need her every time I around her, she first thing on my mind, day start with her, day end with her, she always in my dream, love when every breath got her name, life happen around her, life named to her, cry for her, give her happiness take her sorrow, fight for her, love when crazy things do for her, no need prove to anyone she most beautiful, always sing praise for her, love when make chicken curry become sambar, life beautiful then, thank god every morning she with me, wanna say banyak lah, tell later ah...","Here's the rewritten text with a Singlish tone and specific key words:

""Love lah, for me start with attraction, must feel like need her all the time, she must be first thing on my mind, every morning and night, in my dreams also. When every breath got her name, life happen around her, life belong to her, I will cry for her, give her all happiness, take away all her sorrows. I will fight for her, do crazy things for her, no need prove to anyone she most beautiful la, always sing her praises. Love when I cook chicken curry, then make sambar, life most beautiful then, thank god every morning she with me, I say many things, tell later..."""
