original_l1,original_l2,sent_1,sent_2,chosen,lang
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,当 我们 站 在 路旁 等待 穿越 的 指示 时， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令？”,"""你觉得 Ivan 有没有意识到他不是在跟一群小孩讲话?"" 一位瑞士骑士问, 我们在路边等信号过马路。",sent_1,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,当 我们 站 在 路旁 等待 穿越 的 指示 时， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令？”,"""Do you think Ivan 他有意识到 he is not speaking to a group of children?"" 一位 Swiss cyclist asks, as we stand 在 the road waiting for the signal to cross.",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,当 我们 站 在 路旁 等待 穿越 的 指示 时， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令？”,"当 we stand by the roadside 等待 the crossing 指示, a Swiss rider asked: ""You all觉得 Ivan 有没有意识到 he is not commanding a group of children?""",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"When we stand by the roadside waiting for the guiding light, a Swiss cyclist ask, ""You guys think Ivan aware or not that he not in charge of a bunch of kids?""","""Do you think Ivan 他有没有意识到他不是在跟一群小孩讲话?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,你想 Ivan know he not talk to kpkb of children lor?,"Swiss cyclist ask, ""Do you think Ivan realises we stand beside road, waiting for signal to cross, as he asks?""",sent_1,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"When we stand station ah station 在路旁 lar, wait lor instruction to cross, one Swiss cyclist ask lor: ""You guys think Ivan got consciousness ah, realize he not in charge of a bunch of kids, right? Got or not got, leh?""",当 我们 站 在 路旁 等待 穿越 的 指示 时， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令？”,sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,你想 Ivan know he not talk to kpkb of children lor?,"""La do Ivan understand he not talking to small kid?"" Swiss cyclist ask, we stand road side wait signal cross.",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,当 我们 站 在 路旁 等待 穿越 的 指示 时， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令？”,"""Do you think Ivan 他有没有意识到他不是在跟一群小孩讲话?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"当 we stand by the roadside 等待 the crossing 指示, a Swiss rider asked: ""You all觉得 Ivan 有没有意识到 he is not commanding a group of children?""","""Do you think Ivan 他有意识到 he is not speaking to a group of children?"" 一位 Swiss cyclist asks, as we stand 在 the road waiting for the signal to cross.",sent_1,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"""你觉得 Ivan 有没有意识到他不是在跟一群小孩讲话?"" 一位瑞士骑士问, 我们在路边等信号过马路。","""Do you think Ivan 他有没有意识到他不是在跟一群小孩讲话?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,你想 Ivan know he not talk to kpkb of children lor?,"当 we stand by the roadside 等待 the crossing 指示, a Swiss rider asked: ""You all觉得 Ivan 有没有意识到 he is not commanding a group of children?""",sent_2,English-Chinese
"""Do you think Ivan realises he is not speaking to a group of children?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",当 我们 站 在 路旁 等待 穿越 的 指示 时 ， 一位 瑞士 骑手 问道 ： “ 你们 觉得 伊凡 有没有 意识 到 他 不是 在 对 一群 孩子 发号施令 ？ ”,"When we 站在路旁 等待 the crossing 指示, 一位 Swiss 骑手 ask: “You all think 伊凡 不知道 他 不是 在对 一群 孩子 发号施令吗？”","""Do you think Ivan 他有没有意识到他不是在跟一群小孩讲话?"" a Swiss cyclist asks, as we stand beside the road waiting for the signal to cross.",sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 是 not my main language so I don't understand everything about your world lah"", Rifo said from behind a black mask, which he is known for.","""English 不是 my main language, 所以 I 不懂 everything about your world,"" Rifo said from behind a 黑色 mask, which 他 is known for.",sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"English la is not my main lah language, so I don't understand everything about your world, from behind this black mask, which I always wear, ""English la"" I said.",里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"Lah, Ah Lao wearin' dat sign of black mask say lor, ""English no be my mother tongue, so I no understand you guys' country stuff, ah?""","English la is not my main lah language, so I don't understand everything about your world, from behind this black mask, which I always wear, ""English la"" I said.",sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,里福戴着他那象征性的黑色口罩说道：“英语不是我的母语，因此我不了解你们国家的事情。”,里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"Lah, Ah Lao wearin' dat sign of black mask say lor, ""English no be my mother tongue, so I no understand you guys' country stuff, ah?""",里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"English not my main lah, so I no understand everything about your world leh, Rifo say from behind black mask, which him well-known for.",里福戴着他那象征性的黑色口罩说道：“英语不是我的母语，因此我不了解你们国家的事情。”,sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"English not my main lah, so I no understand everything about your world leh, Rifo say from behind black mask, which him well-known for.","""English 是 not my main language so I don't understand everything about your world lah"", Rifo said from behind a black mask, which he is known for.",sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 是 not my main language so I don't understand everything about your world lah"", Rifo said from behind a black mask, which he is known for.","Loh bak 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ English not my lah, so I no understand you guys' country things lor。”",sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"里福戴着他那象征性的黑色口罩说：“English not my mother tongue lah, so I don’t understand your country’s事情。”",里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 不是我的主要语言，所以我不太懂你们的世界,"" Rifo 从他常戴的黑色面具后面说。","Loh bak 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ English not my lah, so I no understand you guys' country things lor。”",sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,里福戴着他那象征性的黑色口罩说道：“英语不是我的母语，因此我不了解你们国家的事情。”,"Loh bak 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ English not my lah, so I no understand you guys' country things lor。”",sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"Loh bak 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ English not my lah, so I no understand you guys' country things lor。”",里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"里福戴着他那象征性的黑色口罩说：“English not my mother tongue lah, so I don’t understand your country’s事情。”","Loh bak 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ English not my lah, so I no understand you guys' country things lor。”",sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 不是我的主要语言，所以我不太懂你们的世界,"" Rifo 从他常戴的黑色面具后面说。","里福戴着他那象征性的黑色口罩说：“English not my mother tongue lah, so I don’t understand your country’s事情。”",sent_2,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"里福戴着他那象征性的黑色口罩说：“English not my mother tongue lah, so I don’t understand your country’s事情。”",里福戴着他那象征性的黑色口罩说道：“英语不是我的母语，因此我不了解你们国家的事情。”,sent_1,English-Chinese
"""English is not my main language so I don't understand everything about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 他 那 象征性 的 黑色 口罩 说道 ： “ 英语 不是 我 的 母语 ， 因此 我 不 了解 你们 国家 的 事情 。 ”,"""English 不是我的 main language, 所以我不明白 about your world,"" Rifo said from behind a black mask, which he is known for.",里福 戴 着 那 黑色口罩 说道：“英语 不是 我 的 母语，所以 我 不 了解 你们国家 的事情。”,sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah, lor, don't look at now river surface and bridge surface's gap got 4 meters plus, mountain flood come down time, river water all overflow bridge surface already, leh!""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多，山洪 下来的 时候，河水 都 漫过 桥面 了。”,sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,虽然河和桥之间有超过四米的 drop，但在 flash floods 的情况下，水会流过桥。,"""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""","“ Don’t look at now the river surface and bridge surface drop 有 4 米 多, when the mountain flood come, the river water 都 漫过桥面了。”",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,虽然河和桥之间有超过四米的 drop，但在 flash floods 的情况下，水会流过桥。,"Although got more than four-metre drop between river and bridge, water still leh overflow bridge during flash floods lah!",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""","Even lor, river and bridge got more than four-meter drop, but water still can flow over bridge during flash flood lah.",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多，山洪 下来的 时候，河水 都 漫过 桥面 了。”,"Although got more than four-metre drop between river and bridge, water still leh overflow bridge during flash floods lah!",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""","""Even if 河流和桥之间有超过四米的落差, 在暴雨时水还是会流过桥.""",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,河河桥桥水水过过,"Although got more than four-metre drop between river and bridge, water still leh overflow bridge during flash floods lah!",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah, lor, don't look at now river surface and bridge surface's gap got 4 meters plus, mountain flood come down time, river water all overflow bridge surface already, leh!""","“ Don’t look at now the river surface and bridge surface drop 有 4 米 多, when the mountain flood come, the river water 都 漫过桥面了。”",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多，山洪 下来的 时候，河水 都 漫过 桥面 了。”,"""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Don't see now the river level and bridge level 差不多有 4 米多, when mountain flood come, the river water can overtake the bridge level one.""",河河桥桥水水过过,sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah, lor, don't look at now river surface and bridge surface's gap got 4 meters plus, mountain flood come down time, river water all overflow bridge surface already, leh!""","""Even if 河流和桥之间有超过四米的落差, 在暴雨时水还是会流过桥.""",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Don't see now the river level and bridge level 差不多有 4 米多, when mountain flood come, the river water can overtake the bridge level one.""",虽然河和桥之间有超过四米的 drop，但在 flash floods 的情况下，水会流过桥。,sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,即使河流和桥之间有超过四米的落差，遇到 flash floods 的时候，水还是会流过桥。,"“ Don’t look at now the river surface and bridge surface drop 有 4 米 多, when the mountain flood come, the river water 都 漫过桥面了。”",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah, lor, don't look at now river surface and bridge surface's gap got 4 meters plus, mountain flood come down time, river water all overflow bridge surface already, leh!""","""Ah beng, don't look at now river face and bridge face's difference got 4 meter plus, mountain flood come down time, river water all overflow bridge face la!""",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Don't see now the river level and bridge level 差不多有 4 米多, when mountain flood come, the river water can overtake the bridge level one.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多，山洪 下来的 时候，河水 都 漫过 桥面 了。”,sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"""Ah, don't mind leh, now river surface and bridge surface got 4 meters plus difference, but when mountain flood come down, river water still overflow bridge surface la!""","""Even if 河流和桥之间有超过四米的落差, 在暴雨时水还是会流过桥.""",sent_2,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,"“ Don’t look at now the river surface and bridge surface drop 有 4 米 多, when the mountain flood come, the river water 都 漫过桥面了。”","""Ah, don't mind leh, now river surface and bridge surface got 4 meters plus difference, but when mountain flood come down, river water still overflow bridge surface la!""",sent_1,English-Chinese
"""Even though there is a more than four-meter drop between the river and the bridge, water will flow over the bridge in the case of flash floods.""",“ 别看 现在 河面 和 桥面 的 落差 有 4 米 多 ， 山洪 下来 的 时候 ， 河水 都 漫过 桥面 了 。 ”,河河桥桥水水过过,即使河流和桥之间有超过四米的落差，遇到 flash floods 的时候，水还是会流过桥。,sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","Governmental cars, leh, usually got active maintenance and condition okay. If price suitable, I wanna buy second-hand cars, make do with it, okay!","“ Ah, public buses 一般 la, maintain quite 勤, condition also quite 好, price suitable leh, so want先 buy second-hand car first, pass some time la, car condition also quite 好 leh! ”",sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","政府车辆大多数时候都在 active maintenance state， condition okay lah。如果 price suitable, I also want buy second-hand car use lor.","“Bus 通常 保养 比较勤, 车况 也比较好, 如果 价钱 合适的话 想先 买辆 二手车 来 过渡 一下。”",sent_1,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”",政府的车，通常都在 active maintenance 而且 condition 也很好。如果价钱合适的话，我想买一辆二手车来将就用。,"“ 公车 一般 都 保养 比较 勤 , 如果 价格 合适 的话 想 先 买辆 二手车 过渡 一下 。 ”",sent_1,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","Public transport lor generally 保养 leh, leh most people quite busy, car condition also quite good, price suitable leh, so wanna buy a used car for a while 公车一般保养的都比较勤，车况也比较好，价格合适的话想先买辆二手车过渡一下。","Governmental lor, most times got active maintenance and good condition leh. If price suitable, I want buy second-hand car lah, make do with it kan.",sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","“Public transport 一般 保养 的 都 比较 勤, 车况 也 比较 好, 如果 价格 合适的话 想先 买辆 二手车 过渡 一下。”","“ Ah, public buses 一般 la, maintain quite 勤, condition also quite 好, price suitable leh, so want先 buy second-hand car first, pass some time la, car condition also quite 好 leh! ”",sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","政府车辆大多数时候都在 active maintenance state， condition okay lah。如果 price suitable, I also want buy second-hand car use lor.","""Governmental 的 cars, 通常都在 active maintenance, condition 也不错。如果价格合适，我想买一辆二手车来凑合一下。""",sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","“ Ah, public buses 一般 la, maintain quite 勤, condition also quite 好, price suitable leh, so want先 buy second-hand car first, pass some time la, car condition also quite 好 leh! ”","Public transport lor generally 保养 leh, leh most people quite busy, car condition also quite good, price suitable leh, so wanna buy a used car for a while 公车一般保养的都比较勤，车况也比较好，价格合适的话想先买辆二手车过渡一下。",sent_1,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","“Public transport 一般 保养 的 都 比较 勤, 车况 也 比较 好, 如果 价格 合适的话 想先 买辆 二手车 过渡 一下。”","政府车辆大多数时候都在 active maintenance state， condition okay lah。如果 price suitable, I also want buy second-hand car use lor.",sent_2,English-Chinese
"""Governmental cars, in most cases, are in active maintenance and in a good condition. If the price is suitable, I'd like to purchase a second-hand car to make do with it.""","“ 公车 一般 保养 的 都 比较 勤 , 车况 也 比较 好 , 价格 合适 的话 想先 买辆 二手车 过渡 一下 。 ”","“Public transport 一般 保养 的 都 比较 勤, 车况 也 比较 好, 如果 价格 合适的话 想先 买辆 二手车 过渡 一下。”",政府的车，通常都在 active maintenance 而且 condition 也很好。如果价钱合适的话，我想买一辆二手车来将就用。,sent_2,English-Chinese
